产品简称,return2012,成立日期,投资顾问,投资经理
星石18期,1.69 ,2009/9/16,星石投资,江晖
优化趋势策略(E-..,1.68 ,2011/1/5,--,--
红宝石(上信-H-..,1.67 ,2011/1/4,--,--
瀚信经典2期,1.60 ,2010/11/24,瀚信资产,陈鹏
菁英时代成长1号,1.59 ,2009/4/20,菁英时代,陈宏超
东方远见一期,1.58 ,2008/1/29,东方远见,--
合赢2期,1.58 ,2010/9/27,盈峰资本,张冰
呈瑞优势1期,1.53 ,2011/10/11,呈瑞投资,沈守传
双盈1号,1.49 ,2010/1/20,恒达通汇,--
浦江之星30号,1.46 ,2010/2/11,--,--
恒寅1号,1.42 ,2010/11/25,恒寅投资,严隽
理成转子3号,1.40 ,2010/11/12,理成资产,杨玉山 程义全
平安金牛一期,1.35 ,2007/1/16,上海金牛投资,--
远策11期,1.35 ,2011/4/21,远策投资,张益驰
智信创富2期,1.34 ,2011/9/19,智信创富,高锦洪
中睿合银8期,1.27 ,2010/12/13,中睿合银,刘睿
太极一号,1.26 ,2009/3/2,天隼投资,毛仁杰
双赢3期(朱雀),1.25 ,2010/7/22,--,--
聚益3号,1.24 ,2011/5/30,聚益投资,汤小生
谦石2号,1.18 ,2011/1/30,谦石投资,李追阳
中睿合银15期,1.17 ,2011/11/17,中睿合银,刘睿
光大阳光集结号混合..,1.14 ,2011/12/21,光大证券资产,--
鼎力超级成长,1.11 ,2010/11/11,鼎力投资,龙苏云 郝继伦 沈浩森
鑫兰瑞二期,1.09 ,2009/6/29,中睿合银,刘睿
得利宝至尊11号,1.07 ,2010/11/12,朱雀投资,李华轮
六禾财富竹溪,1.04 ,2010/7/5,六禾投资,夏晓辉 王志强 徐志云 
紫杉一期,1.00 ,2010/10/22,杉杉资产,余路明
云程泰3期,0.95 ,2011/7/15,云程泰,魏上云
太阳帆投资,0.88 ,2011/11/24,裕鼎理财,江伟
明曜精选1期,0.84 ,2009/6/19,明曜投资,曾昭雄
从容医疗2期,0.80 ,2010/10/11,从容投资,吕俊
瀚信成长2期,0.77 ,2010/2/12,瀚信资产,蒋国云
能宏1期,0.76 ,2010/12/22,--,--
从容成长5期,0.75 ,2009/10/16,从容投资,--
中航金航3号,0.72 ,2011/7/25,中航证券,帅再先 程敏 王锐
原君1期,0.71 ,2009/10/21,原君投资,--
朱雀15期,0.69 ,2010/2/9,朱雀投资,梁跃军
08融新82号,0.65 ,2011/5/6,君隆资产,--
麦尔斯通三期,0.65 ,2009/3/19,麦尔斯通,--
瀚信稳健2期,0.62 ,2010/12/16,瀚信资产,蒋国云
中睿合银6期,0.55 ,2010/6/21,中睿合银,--
朱雀7期,0.46 ,2009/5/18,朱雀投资,梁跃军
茂源1号,0.46 ,2009/5/11,茂源资本,孙满
友恒成长1期,0.43 ,2010/10/25,友恒投资,周洪兵
麦尔斯通一期,0.43 ,2008/7/17,麦尔斯通,黄伟声
智德精选5期,0.43 ,2010/8/19,智德投资,伍军
远策7期,0.42 ,2010/6/10,远策投资,张益驰
富锦7号(汇利),0.37 ,2010/8/27,汇利资产,何震
普邦恒升聚富2期,0.37 ,2009/7/21,普邦恒升,陈文涛
中睿合银3期,0.36 ,2010/1/8,中睿合银,刘睿
同威增值4期,0.33 ,2010/7/16,同威资产,李驰
至尊6号六禾成长,0.24 ,2010/3/5,六禾投资,夏晓辉 王志强 陈信余
朱雀11期,0.18 ,2009/12/8,朱雀投资,李华轮
睿富1号,0.18 ,2011/6/24,睿富投资,--
宁电1期,0.18 ,2010/12/31,宁电投资,葛鹏
融裕22号(精熙2..,0.17 ,2010/7/8,精熙投资,夏宁
东兴金选1号,0.17 ,2011/4/1,东兴证券,汪乐平 卢洋 靳雪翔
中信证券贵宾5号,0.15 ,2011/7/18,中信证券,胡继光 何玄文
盈捷九头鸟3期,0.13 ,2009/5/13,盈捷投资,--
新价值2期,0.08 ,2010/2/9,新价值,罗伟广 李涛 范波
长余1号,0.08 ,2011/12/2,综艺控股,陈磊
武当17期,0.04 ,2010/3/18,武当资产,田荣华
中睿合银5期,0.04 ,2010/3/25,中睿合银,刘睿
混沌价值增长,0.00 ,2011/5/25,混沌投资,王歆
源乐晟8期,-0.03 ,2010/9/30,源乐晟,曾晓洁
瀚信稳健1期,-0.06 ,2010/7/6,瀚信资产,蒋国云
中睿合银4期,-0.09 ,2010/3/18,中睿合银,刘睿
融新85号(超盛一..,-0.09 ,2010/11/18,超盛投资,林超航
汇利优选,-0.14 ,2008/7/18,汇利资产,何震
联合成长3号,-0.16 ,2008/7/7,众禄投资,--
普邦恒升聚富,-0.23 ,2008/7/1,普邦恒升,陈文涛
汇利优选10期,-0.23 ,2011/1/31,汇利资产,何震
中睿吉祥管家一期,-0.26 ,2009/5/25,中睿合银,刘睿
盈捷5期,-0.31 ,2010/2/10,盈捷投资,--
融裕6号(精熙3期..,-0.33 ,2011/1/26,精熙投资,王征
智德二期,-0.37 ,2009/1/22,智德投资,伍军
星石1期,-0.42 ,2007/7/30,星石投资,江晖
武当10期,-0.47 ,2009/5/22,武当资产,田荣华
中睿合银二期,-0.47 ,2009/7/6,中睿合银,刘睿
金狮143号,-0.48 ,2011/7/22,从容投资,吕俊
得利宝至尊九号,-0.48 ,2010/12/16,君富投资,王进
联合成长2号,-0.48 ,2008/2/13,众禄投资,裴晓岩
建信积极成长1期,-0.49 ,2011/4/12,从容投资,吕俊
星石6期,-0.50 ,2008/6/30,星石投资,江晖
星石4期,-0.51 ,2008/2/2,星石投资,江晖
星石16期,-0.51 ,2009/7/20,星石投资,江晖
星石7期,-0.54 ,2008/8/20,星石投资,江晖
星石10期,-0.54 ,2009/3/12,星石投资,江晖
君利稳健收益(龙赢..,-0.56 ,2010/8/16,龙赢富泽,童第轶
星石5期,-0.57 ,2008/4/28,星石投资,江晖
星石13期,-0.57 ,2009/5/21,星石投资,江晖
紫晶石选优(上信-..,-0.57 ,2011/3/23,光大资产,吴元皓
星石11期,-0.57 ,2009/3/18,星石投资,江晖
中睿合银7期,-0.57 ,2010/12/20,中睿合银,刘睿
中鼎盈丰二期,-0.59 ,2010/4/23,瀚信资产,蒋国云
同威增值1期,-0.60 ,2009/6/25,同威资产,--
星石2期,-0.61 ,2007/7/30,星石投资,江晖
中信证券贵宾2号,-0.62 ,2011/1/13,中信证券,杨喆 张晓亮 胡继光
星石3期,-0.62 ,2007/8/27,星石投资,江晖
盈融达3号,-0.66 ,2010/12/20,盈融达,--
德谷3期,-0.68 ,2011/8/19,--,--
瀚信成长5期,-0.69 ,2010/3/29,瀚信资产,蒋国云
星石8期,-0.76 ,2009/1/21,星石投资,江晖
金源1号,-0.78 ,2010/5/5,长安信托,李莹
金狮110号,-0.78 ,2011/9/30,--,--
尚雅12期,-0.79 ,2010/5/28,尚雅投资,常昊 石波
精熙辰龙二期,-0.79 ,2011/4/15,精熙投资,--
华西锦诚1号,-0.83 ,2010/7/29,华西证券,--
丰瑞世纪1期,-0.88 ,2009/12/18,丰瑞世纪,--
溪牛一期,-0.94 ,2010/10/13,--,--
财富宝,-0.95 ,2010/2/10,国投信托,--
景林稳健,-0.99 ,2006/10/31,景林资产,蒋锦志
普邦恒升(华金1期..,-0.99 ,2010/12/31,普邦恒升,陈文涛
融裕瀚信成长10期,-1.00 ,2010/8/18,瀚信资产,蒋国云
沃胜1期,-1.02 ,2010/12/2,沃胜资产,魏延军
朱雀3期,-1.03 ,2009/7/29,朱雀投资,李华轮
银石1期,-1.08 ,2010/12/30,银石投资,丘海云
朱雀16期,-1.11 ,2010/8/18,朱雀投资,李华轮
朱雀2期,-1.15 ,2007/9/17,朱雀投资,李华轮
彩瑞3期,-1.15 ,2010/8/6,彩瑞投资,--
上善远行1期,-1.16 ,2011/7/15,上善御富,刘鹰
上善御富风险缓冲1..,-1.19 ,2011/11/15,上善御富,刘鹰
从容医疗精选,-1.19 ,2011/3/15,从容投资,吕俊
融裕33号六禾财富..,-1.19 ,2010/11/1,六禾投资,赵立坚 王志强 夏晓辉
朱雀1期,-1.19 ,2007/9/17,朱雀投资,李华轮
天富3号(瀚信成长..,-1.23 ,2010/4/9,瀚信资产,蒋国云
穿石品质生活,-1.23 ,2011/1/4,穿石投资,蔡生俭
金狮186号,-1.29 ,2011/5/20,--,--
融兴进取,-1.33 ,2009/5/13,胜乾投资,--
金狮194号,-1.38 ,2011/5/20,--,--
六禾财富银盏一期,-1.40 ,2008/3/26,六禾投资,--
公益,-1.41 ,2011/4/13,东方红,--
申银万国宝鼎一期,-1.44 ,2010/3/26,申银万国,张涵 牟纪祥
瀚信成长1期,-1.44 ,2010/2/11,瀚信资产,蒋国云
朱雀合伙专项,-1.44 ,2009/3/30,朱雀投资,李华轮
塔晶老虎1期,-1.50 ,2007/12/11,塔晶投资,冷再清
汇利优选2期,-1.58 ,2009/3/20,汇利资产,何震
朱雀13期,-1.58 ,2009/12/10,朱雀投资,张延鹏
瀚信成长4期,-1.62 ,2010/4/29,瀚信资产,蒋国云
呈瑞2期,-1.72 ,2011/4/28,呈瑞投资,沈守传
东方港湾马拉松,-1.74 ,2007/2/28,东方港湾,但斌
中诚主题精选,-1.78 ,2009/5/20,凯石益正资产,--
新同方,-1.78 ,2007/7/12,新同方,王连恒 刘迅
中信证券贵宾3号,-1.80 ,2011/4/15,中信证券,杨喆 程伟庆 胡继光
敦和1期,-1.83 ,2011/6/27,敦和投资,--
泰瓴-泰九2期,-1.84 ,2010/10/29,泰瓴资产,文江 张林涛
智德精选,-1.89 ,2009/4/28,智德投资,伍军
瑞象丰年,-1.97 ,2007/12/27,瑞象投资,陈军
鼎辉1号,-1.97 ,2008/11/28,鼎陶朱辉,段焰伟
建信积极成长2期,-2.00 ,2011/4/12,尚雅投资,常昊 石波
双赢8期(尚雅),-2.08 ,2009/9/29,尚雅投资,常昊 石波
鹏远核心一期,-2.12 ,2008/2/21,鹏远咨询,--
美联融通1期,-2.17 ,2007/10/30,美联融通,汪立家
东北证券融通一期,-2.17 ,2011/5/20,东北证券,许文波 赵志海 郭来生
大包巷1号,-2.17 ,2011/9/15,大包巷投资,包周荣
投资精英之汇利A,-2.17 ,2009/10/26,汇利资产,何震
瀚信成长6期,-2.20 ,2010/6/9,瀚信资产,蒋国云
泰达鼎晟1期,-2.31 ,2011/11/4,泰达鼎晟,邓继军
星石22期,-2.31 ,2010/11/23,星石投资,江晖
金狮144号(凯石..,-2.32 ,2011/9/20,凯石益正资产,陈继武
玖阳一号,-2.33 ,2011/5/19,玖阳投资,曹素生
金狮109号,-2.43 ,2011/9/30,--,--
猎豹1期,-2.46 ,2010/8/24,鼎祥赢瑞,张德涛
铭远2期,-2.48 ,2010/1/31,铭远投资,韩跃峰
宁聚申万,-2.48 ,2011/7/27,宁聚投资,谢叶强 葛鹏
瀚信价值2期,-2.49 ,2011/4/29,瀚信资产,蒋国云
励石一号,-2.52 ,2007/12/28,励石投资,肖世明
明曜目标回报第5期,-2.53 ,2011/9/27,明曜投资,曾昭雄
六禾财富越秀,-2.56 ,2011/4/13,六禾投资,夏晓辉
增强41号西域03..,-2.57 ,2011/4/12,西域投资,周水江 李方祥
龙马,-2.57 ,2007/11/16,柏恩投资,龙小波
汇势通1号,-2.58 ,2011/7/27,汇势通,--
汇势通1期,-2.58 ,2011/7/1,汇势通,谢华鹏
泰瓴3期,-2.58 ,2010/11/15,泰瓴资产,张林涛 文江
汇富4号(汇利优选..,-2.59 ,2009/7/24,汇利资产,何震 侯逸
铭远巴克莱,-2.60 ,2008/8/21,铭远投资,韩跃峰
金狮116号,-2.62 ,2011/10/21,--,--
新同方2期,-2.62 ,2008/3/28,新同方,--
汇利3期,-2.67 ,2010/6/10,汇利资产,何震
朱雀二期A,-2.68 ,2010/7/13,朱雀投资,李华轮
润晖稳健增值,-2.69 ,2010/8/20,润晖资产,闵昱
东方红先锋2号,-2.82 ,2010/2/24,东方红,顾凌云 朱伯胜
新价值20期,-2.91 ,2011/1/12,新价值,罗伟广
东方红先锋1号,-2.91 ,2010/1/7,东方红,李竞 顾凌云 林树财
金瀛2期,-2.93 ,2011/1/31,金瀛投资,--
六禾财富瓯越,-3.01 ,2010/11/29,六禾投资,徐志云 夏晓辉 王志强
天马成长,-3.03 ,2010/12/1,天马资产,康晓阳
金效3号,-3.04 ,2011/11/16,金效投资,--
从容成长7期,-3.05 ,2010/10/11,从容投资,吕俊
理成转子4号,-3.05 ,2011/5/4,理成资产,杨玉山 孟诚
泰瓴-泰九1期,-3.06 ,2010/10/19,泰瓴资产,张林涛 文江
挺浩一期,-3.07 ,2010/9/17,挺浩投资,康浩平
尚雅11期,-3.11 ,2010/4/23,尚雅投资,石波 常昊
从容优势7期,-3.21 ,2010/12/30,从容投资,吕俊
融新354号(广晟..,-3.21 ,2011/8/15,广晟财富,刘海影
中睿合银12期,-3.21 ,2011/8/26,中睿合银,刘睿
尚雅16期,-3.22 ,2010/12/2,尚雅投资,石波 常昊
双赢1期(瀚信),-3.22 ,2010/8/27,瀚信资产,蒋国云
汇利5期,-3.24 ,2010/5/26,汇利资产,何震
铭远3期,-3.31 ,2010/10/22,铭远投资,韩跃峰
呈瑞5期,-3.34 ,2011/7/7,呈瑞投资,沈守传 杨类禹
理成风景3号,-3.41 ,2011/10/10,理成资产,杨玉山 田晓军
新价值9期,-3.45 ,2010/9/2,新价值,罗伟广
春天1号(上善御富..,-3.47 ,2010/8/9,上善御富,刘鹰 康晓云
中睿吉祥管家10期,-3.47 ,2011/1/21,中睿合银,刘睿
谦石1期,-3.48 ,2011/6/1,谦石投资,李追阳
金狮192号,-3.49 ,2011/5/20,--,--
泽融一期,-3.52 ,2011/3/11,泽融投资,--
融新317号国理价..,-3.54 ,2011/1/26,国理投资,岳政
富安达安晟1号,-3.55 ,2010/7/12,富安达投资,--
尚雅9期,-3.57 ,2010/2/11,尚雅投资,石波 常昊
中睿合银11期,-3.60 ,2011/8/12,中睿合银,--
紫晶石(上信-T-..,-3.61 ,2010/3/24,--,--
恒盈1期,-3.61 ,2011/7/1,恒盈投资,韩俊刚
银河福星1号,-3.72 ,2010/9/21,银河证券,郑锦斐 沈涛 宫德 吴春龙
东莞旗峰财富1号,-3.80 ,2011/9/6,东莞证券,--
林园,-3.83 ,2007/2/28,林园投资,林园
金狮181号,-3.84 ,2010/1/12,凯石益正资产,陈继武
东方红先锋6号,-3.88 ,2011/3/10,东方红,姜荷泽
理成风景1号,-3.89 ,2008/9/10,理成资产,程义全
明达2期,-3.90 ,2006/10/24,明达资产,刘明达
从容5期,-3.93 ,2011/1/25,从容投资,吕俊
至尊26号,-3.95 ,2011/12/5,汇利资产,何震
泰石1期,-3.99 ,2008/5/23,泰石投资,车克
财富成长3期,-4.02 ,2010/10/18,财富成长,--
投资精英之尚雅A,-4.12 ,2010/8/31,尚雅投资,石波 常昊
博时2号,-4.14 ,2011/7/1,博时投资,--
财富成长2期,-4.16 ,2010/9/20,财富成长,李映东 唐雪来 丁昌
精熙成长红利,-4.17 ,2011/10/21,精熙投资,夏宁
从容内需医疗,-4.28 ,2011/6/10,从容投资,吕俊
铭远4期,-4.28 ,2011/1/17,铭远投资,韩跃峰
财富成长8期,-4.29 ,2010/12/20,财富成长,--
建源财富成长,-4.34 ,2010/1/18,建元天华,赵建光
以太,-4.36 ,2007/7/20,以太投资,--
鼎陶朱辉2期,-4.38 ,2010/11/5,鼎陶朱辉,段焰伟
简适2期,-4.40 ,2011/2/11,简适投资,--
从容医疗1期,-4.43 ,2010/6/30,从容投资,吕俊
瑞银财富1号,-4.45 ,2010/11/11,瑞银证券,赖晶铭
智诚2期,-4.52 ,2009/6/12,智诚海威,张弩
金域蓝湾1期,-4.63 ,2007/12/3,金域蓝湾,--
鼎润1期,-4.68 ,2011/1/12,鼎润投资,陈宇杰
光大集结号混合型一..,-4.72 ,2010/1/28,光大证券资产,聂昕 卓致勤 谢锋
隐形冠军3期,-4.80 ,2010/9/3,京富融源,李彦炜
凯信1号,-4.82 ,2009/7/20,凯石益正资产,陈继武
得利宝-至尊7号,-4.85 ,2010/7/9,凯石益正资产,陈继武
凯石三期A,-4.89 ,2010/1/11,凯石益正资产,程俊豪
融泰1号,-4.94 ,2011/7/26,华融泰资产,陈亮
蕴泽1号,-4.96 ,2011/1/6,西藏信托,王晶 陶骜
龙鼎3号,-5.03 ,2010/8/2,龙鼎投资,冯为民
丰煜如意理财一期,-5.08 ,2010/1/11,丰煜投资,刘峰
东方红先锋3号,-5.11 ,2010/7/8,东方红,姜荷泽 林树财
方圆奥特1期,-5.13 ,2010/9/7,方圆奥特,杨云
中欧瑞博一期,-5.14 ,2008/1/25,中欧瑞博,吴伟志
鼎力价值成长1期,-5.17 ,2011/5/18,鼎力投资,沈浩森 龙苏云 郝继伦
理成转子5号,-5.18 ,2011/4/27,理成资产,田晓军
嘉伦1号,-5.21 ,2010/12/9,嘉伦投资,--
丰煜如意理财二期,-5.22 ,2010/8/27,丰煜投资,刘峰
林园3期,-5.24 ,2007/9/20,林园投资,林园
德谷6期,-5.35 ,2011/8/5,--,--
翼虎成长1期,-5.41 ,2008/3/20,翼虎投资,余定恒
智诚7期,-5.42 ,2011/1/19,智诚海威,卢伟强 卢源
睿信5期,-5.46 ,2010/9/28,睿信投资,李振宁
财富成长4期,-5.47 ,2010/11/15,财富成长,--
鼎天聚富(智远1期..,-5.53 ,2010/5/31,鼎天投资,--
德丰华1期,-5.59 ,2010/8/18,德丰华投资,戴勇毅
同瑞汇金1期,-5.68 ,2011/3/7,同瑞汇金,涂刚
昊润1期,-5.71 ,2011/7/22,昊润资产,赵立坚
智德精选6期,-5.72 ,2010/12/9,智德投资,伍军
君富持续增长一期,-5.75 ,2008/7/3,君富投资,--
明渝霄阳2号,-5.82 ,2011/1/11,明渝霄阳,罗斌
理成转子2号,-5.83 ,2009/7/15,理成资产,程义全
林园2期,-5.86 ,2007/9/17,林园投资,林园
得利宝至尊8号,-5.89 ,2010/8/16,尚雅投资,常昊 石波
同威2期,-5.89 ,2009/3/2,同威资产,李驰
景富趋势成长一期,-5.99 ,2010/12/1,景富投资,祝巍
富锦8号(尚雅),-6.01 ,2010/8/27,尚雅投资,常昊 石波
宏利2期,-6.10 ,2008/6/2,龙赢富泽,童第轶
和聚鼎宝1期,-6.11 ,2011/9/29,北京和聚投资,李泽刚
翼虎成长3期,-6.11 ,2011/5/5,翼虎投资,余定恒
渝信壹号,-6.20 ,2010/5/21,穿石投资,蔡生俭
恒盈复利增长1号,-6.25 ,2011/7/28,恒盈投资,韩俊刚
海昊福山,-6.35 ,2011/10/21,海昊投资,--
投资精英之翼虎A,-6.60 ,2011/9/15,翼虎投资,余定恒
朱雀1期,-6.60 ,2008/12/17,朱雀投资,张延鹏
呈瑞价值1期,-6.63 ,2011/12/13,呈瑞投资,杨类禹 梅琳燕
龙赢一号,-6.66 ,2010/4/21,龙赢富泽,童第轶
冠俊5号(成长策略..,-6.68 ,2011/5/12,冠俊资产,刘俊
麦盛领航1期,-6.68 ,2010/5/10,麦盛资产,--
海昊1号,-6.68 ,2008/6/17,海昊投资,曾文海
精熙辰龙一期,-6.76 ,2011/5/13,--,--
景良能量1期,-6.80 ,2008/3/4,景良投资,廖黎辉
瑞天价值成长,-6.80 ,2008/7/7,瑞天投资,李鹏
睿信,-6.88 ,2007/2/8,睿信投资,李振宁
和美1期,-6.90 ,2010/10/21,多和美,张益凡
先锋6号Ⅱ期,-6.93 ,2011/6/8,东方红,张锋 姜荷泽
普邦恒升宏利,-6.93 ,2011/9/23,普邦恒升,陈文涛
武当1期,-7.29 ,2007/11/12,武当资产,田荣华
斯达克成长一期,-7.37 ,2010/11/1,斯达克,张建宇 李文辉
金贝壳1号,-7.40 ,2010/5/20,金贝壳,黄明新
金诚富利1期,-7.45 ,2010/3/31,同亿富利,黄树军
海天二期,-7.50 ,2011/1/21,新海天,--
翼虎成长2期,-7.58 ,2010/11/19,翼虎投资,余定恒
国投飞天4号,-7.77 ,2010/5/19,国投信托,师晨冰 高静
呈瑞6期,-7.91 ,2011/8/18,呈瑞投资,--
智诚3期,-8.03 ,2009/9/21,智诚海威,张弩
国弘2期,-8.13 ,2009/9/28,国弘资产,--
甬江十六号(第二期..,-8.13 ,2011/10/28,理成资产,程义全 杨玉山
金狮120号,-8.24 ,2011/12/16,--,--
龙腾,-8.26 ,2008/1/23,龙腾资产,吴险峰
国投凯益,-8.37 ,2009/5/12,凯石益正资产,陈继武
合正普惠1期,-8.39 ,2011/12/19,合正普惠,许彤 冯宇辉
永达1期,-8.51 ,2011/9/9,永达投资,--
浦江之星48号,-8.56 ,2011/4/8,--,--
增强42号,-8.59 ,2011/3/16,西域投资,廖育良 宋豹 周水江
美红1号,-8.62 ,2010/10/18,富灵投资,灵犀
智诚4期,-8.78 ,2010/6/11,智诚海威,张弩
智诚5期,-8.79 ,2010/5/31,智诚海威,张弩
龙腾3期,-8.88 ,2010/11/12,龙腾资产,吴险峰
瑞天3期,-9.19 ,2010/12/28,瑞天投资,李鹏
京福1号,-9.21 ,2008/9/26,京福资产,陈山
银信宝,-9.29 ,2008/1/4,恒运盛投资,张安东
华夏中富1号,-9.41 ,2011/1/7,华夏中富,--
吉杨1号,-9.45 ,2011/3/24,富灵投资,灵犀
至尊19号,-9.57 ,2011/4/11,国淼投资,马泽
呈瑞4期,-9.60 ,2011/4/27,呈瑞投资,杨类禹 沈守传
融新181号(贝塔..,-9.65 ,2011/6/7,贝塔投资,汤立新
长金6号,-9.70 ,2010/3/15,长金投资,--
兆信1期,-9.72 ,2010/5/21,兆信资产,马骏
呈瑞3期,-9.72 ,2011/4/15,呈瑞投资,杨类禹 沈守传
世通1期,-9.81 ,2008/2/18,康庄资产,常士杉
景泰复利回报一期,-9.82 ,2007/9/7,景泰利丰,张英飚
景泰复利回报二期,-9.84 ,2008/1/8,景泰利丰,张英飚
宝晟1期,-10.01 ,2011/3/7,--,--
千华策略一期A,-10.06 ,2011/7/5,千华投资,岳爱民
中行TOT成长组合..,-10.12 ,2011/5/11,--,--
从容医疗3期,-10.14 ,2011/2/11,从容投资,吕俊
盈捷九头鸟1期,-10.28 ,2009/3/23,盈捷投资,李少伟
从容稳健1期,-10.32 ,2009/5/8,从容投资,吕俊
长安投资33号,-10.42 ,2011/10/18,柏恩投资,--
景泰复利回报1期,-10.42 ,2010/1/6,景泰利丰,张英飚
鹏诚二期,-10.44 ,2011/1/7,鹏诚资产,廖春晖
京福2号,-10.49 ,2009/6/1,京福资产,陈山
国弘1期,-10.54 ,2009/5/18,国弘资产,--
中欧瑞博1期,-10.61 ,2008/12/1,中欧瑞博,吴伟志
君丰1期,-10.63 ,2007/12/20,君丰资本,谢爱龙
尚雅14期,-10.63 ,2010/8/2,尚雅投资,常昊 石波
瑞天5期,-10.65 ,2011/1/31,瑞天投资,李鹏
尚道乾坤合伙基金,-10.73 ,2011/9/15,尚道投资,谢柳毅
东海精选1号,-10.86 ,2010/7/19,东海证券,梁游 丁颖 王宝舟
时策1期,-10.98 ,2008/1/17,时策投资,--
明河成长,-11.02 ,2011/4/25,明河投资,张翎
汇利优选6期(富锦..,-11.05 ,2010/6/7,汇利资产,周小峰 何震
郎基金一号,-11.07 ,2011/6/20,高汉新豪,--
中智合信1期,-11.17 ,2011/10/21,中智合信,--
双盈二号,-11.20 ,2011/5/9,双盈企业,--
富民1期,-11.35 ,2011/3/3,君创富民,童学军
思想者一号(2),-11.37 ,2011/9/28,思想者,曾三
双赢9期(从容),-11.40 ,2009/9/29,外贸信托,--
从容成长8期,-11.56 ,2010/4/27,从容投资,吕俊
天眷精英一号,-11.60 ,2011/7/28,鹏达双鑫,--
海润达一期,-11.64 ,2011/12/29,海润达,--
尚雅4期,-11.65 ,2008/2/18,尚雅投资,常昊 石波
冠俊3号,-11.71 ,2011/2/15,冠俊资产,刘俊
宝晟2期,-11.74 ,2011/9/28,--,--
财富成长01期,-11.93 ,2010/7/29,财富成长,丁昌 李映东 唐雪来
鑫柏源1号,-12.03 ,2011/6/20,鑫柏源,--
西域-光华59,-12.12 ,2010/9/2,西域投资,周水江
从容稳健3期,-12.23 ,2009/3/25,从容投资,吕俊
冠俊6号,-12.45 ,2011/5/10,冠俊资产,刘俊
冠俊2号,-12.53 ,2011/1/31,冠俊资产,刘俊
成长策略1期,-12.53 ,2011/1/31,--,--
盈捷九头鸟2期,-12.55 ,2009/3/18,盈捷投资,李少伟
齐鲁金泰山2号(展..,-12.57 ,2010/7/16,齐鲁证券,黄奕 杜旭东 佘中强 邓亮 刘保民 徐炜哲 郭鹏 韩晓光
尚雅5期,-12.61 ,2009/4/23,尚雅投资,常昊 石波
美红2号,-12.67 ,2010/12/29,富灵投资,灵犀
明河价值一期,-12.92 ,2010/6/25,明河投资,张翎
尚雅6期,-12.96 ,2009/6/10,尚雅投资,常昊 石波
龙动力一期,-12.98 ,2010/12/1,柏恩投资,潘明洪
从容稳健2期,-13.09 ,2009/3/18,从容投资,吕俊
尚雅2期,-13.22 ,2007/12/29,尚雅投资,常昊 石波
华信1号(2),-13.36 ,2011/12/20,尊嘉资产,陈明亮 宋炳山
募旗汇金一期,-13.41 ,2011/12/5,募旗汇金,周思
新价值1期,-13.43 ,2010/5/14,新价值,张旭 罗伟广
景泰复利回报4期,-13.44 ,2010/12/1,景泰利丰,张英飚
国轩,-13.54 ,2008/4/28,南方汇金,徐伟
尚雅3期,-13.55 ,2007/12/3,尚雅投资,常昊 石波
隐形冠军一期,-13.68 ,2009/5/8,京富融源,李彦炜
尚雅1期,-13.85 ,2007/11/21,尚雅投资,常昊 石波
汇阳汇峰,-13.97 ,2008/3/31,汇阳汇峰投资,--
龙腾5期,-14.03 ,2010/9/28,龙腾资产,吴险峰
凯石风险缓冲1期,-14.12 ,2011/7/29,凯石益正资产,--
龙票1期,-14.48 ,2008/1/29,龙票资产,曾祥文
图原精选1期,-14.56 ,2009/12/29,图原资产,吴雄伟
龙腾9期,-14.71 ,2011/3/15,龙腾资产,汪小安
赑元成长1期,-14.74 ,2008/12/10,赑元资产,宣震
证大稳健,-14.89 ,2008/6/6,证大投资,刘兵
世通5期,-14.96 ,2011/4/11,康庄资产,常士杉
弘益1期,-15.00 ,2011/12/27,--,--
弘益2期,-15.00 ,2011/12/27,--,--
世通嫦娥奔月,-15.22 ,2011/1/26,康庄资产,常士杉
盈捷九头鸟4期,-15.38 ,2010/11/19,盈捷投资,李少伟
尚诚,-15.69 ,2007/3/28,尚诚资产,肖华
炎生1期,-15.70 ,2011/8/31,炎生投资,刘浩
长安投资55号,-16.03 ,2011/7/22,世泽投资,雷磊
尚雅7期,-16.05 ,2009/6/29,尚雅投资,常昊 石波
洲浚1号,-16.09 ,2010/9/28,洲浚投资,许周军
尚雅8期,-16.17 ,2010/7/28,尚雅投资,常昊 石波
金海财富成长1号,-16.20 ,2011/3/15,金海资产,--
鑫增长1号,-16.29 ,2008/1/10,鑫增长,罗文军
泰信矢量,-16.38 ,2011/7/1,泰信基金,李剑君 邹毅
同威1期,-16.43 ,2008/8/8,同威资产,李驰
汇富17号(隐形冠..,-16.43 ,2010/7/28,京富融源,李彦炜
财富成长6期,-16.49 ,2010/12/13,财富成长,--
东海精选5号,-17.20 ,2011/8/19,东海证券,陈敏 梁游 朱玺 杨欣
济海远航1期,-17.62 ,2010/11/29,济海投资,--
坤阳乾坤一号,-17.64 ,2007/8/23,坤阳资产,陈敏
融新316号玖歌投..,-17.97 ,2010/9/16,玖歌投资,--
国信证券1期,-18.43 ,2008/2/5,国信证券,李晓峰
海天一期,-18.48 ,2010/3/5,新海天,--
精熙优胜回报1期,-19.42 ,2011/11/17,精熙投资,夏宁
顶石成长1号,-19.49 ,2011/1/24,顶石投资,--
鸿逸1号,-19.77 ,2010/12/16,鸿逸投资,张云逸
