产品简称,当年收益%,成立日期,投资顾问,投资经理
平安价值投资一期,-21.84,2006/6/12,惠理基金,谢清海
积极策略尊享2号,-21.88,2009/9/29,华夏基金,--
睿信2期,-21.88,2007/6/15,睿信投资,李振宁
武当13期,-21.94,2009/8/13,武当资产,田荣华
紫晶石(T-020..,-21.98,2009/12/11,--,--
武当9号,-22.01,2009/5/8,武当资产,田荣华
隐形冠军3期,-22.02,2010/9/3,京富融源,李彦炜
从容成长2期,-22.05,2009/6/18,从容投资,吕俊
盈捷九头鸟3期,-22.11,2009/5/13,盈捷投资,--
鼎力超级成长,-22.11,2010/11/11,鼎力投资,郝继伦 沈浩森 龙苏云
汇利5期,-22.12,2010/5/26,汇利资产,何震
武当14期,-22.15,2009/11/17,武当资产,田荣华
投资精英之汇利A,-22.23,2009/10/26,汇利资产,何震
得利宝至尊13号,-22.28,2010/12/22,从容投资,吕俊
混沌2号,-22.38,2009/6/22,混沌投资,王歆
国信证券1期,-22.44,2008/2/5,国信证券,李晓峰
隆圣四号,-22.46,2007/11/20,隆圣投资,--
睿信3期,-22.46,2007/6/15,睿信投资,李振宁
汇利7期,-22.53,2010/10/12,汇利资产,何震
京福3号,-22.54,2010/7/2,京福资产,陈山
明达,-22.54,2005/11/28,明达资产,刘明达
龙赢二号,-22.54,2010/11/17,龙赢富泽,--
鼎锋6期,-22.6,2010/9/20,鼎锋资产,李霖君
智诚3期,-22.67,2009/9/21,智诚海威,张弩
东金1期,-22.7,2010/12/30,东金投资,--
武当5期,-22.71,2009/3/10,武当资产,田荣华
证大增长二期,-22.75,2007/6/15,证大投资,--
武当7号,-22.93,2009/4/22,武当资产,田荣华
瀚信经典2期,-23,2010/11/24,瀚信资产,陈鹏
积胜1期,-23,2009/12/31,积吉胜,张仁才
广金成长,-23.13,2007/12/25,广金投资,刘壮华 梁月广
隐形冠军一期,-23.15,2009/5/8,京富融源,李彦炜
麦盛领航1期,-23.15,2010/5/10,麦盛资产,--
财富成长3期,-23.2,2010/10/18,财富成长,--
慧安6号,-23.38,2010/12/7,慧安投资,沈一慧
双赢1期(瀚信),-23.39,2010/8/27,瀚信资产,蒋国云
天富3号(瀚信成长..,-23.39,2010/4/9,瀚信资产,蒋国云
明达4期,-23.4,2010/11/5,明达资产,刘明达
武当8号,-23.41,2009/4/30,武当资产,田荣华
隆圣三号,-23.53,2007/11/20,隆圣投资,--
金中和4期,-23.54,2009/6/3,金中和投资,刘国平
融兴进取,-23.55,2009/5/13,胜乾投资,--
平安证大价值三期,-23.63,2007/8/30,证大投资,--
新价值12号,-23.66,2010/5/14,新价值,黄云轩 范波 罗伟广
东方远见一期,-23.67,2008/1/29,东方远见,--
奇正中融1期,-23.7,2010/5/25,安诺信和,--
隆圣二号,-23.73,2007/11/7,隆圣投资,--
中国优质1号,-23.77,2008/1/8,鹏远咨询,--
混沌1号,-23.82,2008/10/21,混沌投资,王歆
海洋之星1号,-23.86,2007/9/30,东方证券,周博胜
平安金牛一期,-23.89,2007/1/16,上海金牛投资,--
兆信1期,-23.91,2010/5/21,兆信资产,马骏
尚雅1期,-23.94,2007/11/21,尚雅投资,常昊 石波
和聚5期,-24.02,2010/5/28,北京和聚投资,李泽刚
齐鲁金泰山2号(展..,-24.03,2010/7/16,齐鲁证券,杜旭东 佘中强 邓亮 刘保民 徐炜哲 郭鹏 韩晓光 黄奕
同威1期,-24.03,2008/8/8,同威资产,李驰
先锋1号,-24.03,2007/12/17,钧锋投资,童殿琳 陈湘义
财富成长8期,-24.09,2010/12/20,财富成长,--
得利宝至尊九号,-24.1,2010/12/16,君富投资,王进
和聚2期,-24.15,2010/3/18,北京和聚投资,李泽刚
合赢2期,-24.15,2010/9/27,盈峰资本,张冰
融裕瀚信成长10期,-24.24,2010/8/18,瀚信资产,蒋国云
汇利优选9期,-24.37,2010/10/8,汇利资产,侯逸 何震
尚雅5期,-24.39,2009/4/23,尚雅投资,常昊 石波
尚雅2期,-24.44,2007/12/29,尚雅投资,常昊 石波
和聚1期,-24.54,2009/7/14,北京和聚投资,李泽刚
龙鼎1号,-24.57,2008/7/22,龙鼎投资,--
得利宝重阳5期,-24.59,2009/12/11,重阳投资,陈心 裘国根
京福2号,-24.6,2009/6/1,京福资产,陈山
东海精选1号,-24.6,2010/7/19,东海证券,梁游 丁颖 王宝舟
和聚4期,-24.64,2010/4/14,北京和聚投资,李泽刚
丰瑞世纪1期,-24.7,2009/12/18,丰瑞世纪,--
和鼎1期,-24.75,2010/1/27,和鼎投资,--
瑞天3期,-24.75,2010/12/28,瑞天投资,李鹏
精英之武当A,-24.79,2009/9/17,武当资产,田荣华
晋龙1号,-25.04,2007/8/28,东方证券,杨达治
慧安5号,-25.12,2010/6/3,慧安投资,沈一慧
中鼎盈丰二期,-25.25,2010/4/23,瀚信资产,蒋国云
和聚3期,-25.25,2010/4/20,北京和聚投资,李泽刚
麦盛领航2期,-25.28,2010/9/9,麦盛资产,--
瑞象丰年,-25.42,2007/12/27,瑞象投资,陈军
凯信1号,-25.54,2009/7/20,凯石益正资产,陈继武
尚雅7期,-25.63,2009/6/29,尚雅投资,常昊 石波
得利宝-至尊7号,-25.67,2010/7/9,凯石益正资产,陈继武
锐集一号,-25.68,2009/5/4,锐集投资,--
同威增值1期,-25.71,2009/6/25,同威资产,--
舒畅1号,-25.88,2010/10/12,舒畅投资,--
赑元成长1期,-25.9,2008/12/10,赑元资产,宣震
洲浚1号,-26,2010/9/28,洲浚投资,许周军
联合成长3号,-26.03,2008/7/7,众禄投资,--
同威2期,-26.18,2009/3/2,同威资产,李驰
瀚信成长6期,-26.26,2010/6/9,瀚信资产,蒋国云
飞天1号,-26.32,2009/6/24,国投信托,--
金源1号,-26.44,2010/5/5,长安信托,李莹
盈捷九头鸟4期,-26.54,2010/11/19,盈捷投资,李少伟
瀚信成长2期,-26.58,2010/2/12,瀚信资产,蒋国云
瑞天价值成长,-26.61,2008/7/7,瑞天投资,李鹏
海天一期,-26.63,2010/3/5,新海天,--
美红2号,-26.77,2010/12/29,富灵投资,灵犀
京福1号,-26.8,2008/9/26,京福资产,陈山
东方红先锋2号,-26.84,2010/2/24,东方红,朱伯胜 顾凌云
至尊6号六禾成长,-26.88,2010/3/5,六禾投资,王志强 陈信余 夏晓辉
简适1期,-27.01,2010/5/27,简适投资,--
金石理财一期,-27.21,2010/8/30,金石投资,--
简适亨通,-27.29,2009/10/9,简适投资,--
麟益2期,-27.31,2010/9/2,麟益投资,--
龙票1期,-27.36,2008/1/29,龙票资产,曾祥文
联合成长1号,-27.46,2008/1/3,众禄投资,裴晓岩
铭远巴克莱,-27.48,2008/8/21,铭远投资,韩跃峰
智诚2期,-27.58,2009/6/12,智诚海威,张弩
瑞象Alpha,-27.61,2009/4/30,瑞象投资,陈军
太极一号,-27.73,2009/3/2,天隼投资,毛仁杰
汇富17号(隐形冠..,-27.74,2010/7/28,京富融源,李彦炜
尚雅13期,-27.82,2010/9/30,尚雅投资,常昊 石波
浙商金惠2号,-27.85,2010/11/15,浙商证券资产,耿广棋 刘俊 周良 王翊
明华一期,-27.95,2010/4/20,明华信德,陈明贤
精英之从容A,-28.01,2009/9/17,从容投资,吕俊
宏道1号,-28.15,2010/8/9,宏道投资,--
润丰伍号,-28.16,2010/8/5,--,--
富鹏2期(德源安战..,-28.21,2010/3/16,外贸信托,车广义 姚少杰 费鹏
从容医疗1期,-28.22,2010/6/30,从容投资,吕俊
华富励勤1期,-28.35,2010/1/11,华富励勤,--
鼎锋12期,-28.41,2010/12/21,鼎锋资产,李霖君
博江1期,-28.55,2010/3/23,博盈投资,--
从容成长5期,-28.65,2009/10/16,从容投资,--
大成灵活配置2期,-28.72,2008/2/5,大成基金,杨建华
瀚信经典1期,-28.76,2010/6/24,瀚信资产,陈鹏 李君 蒋国云
嘉伦1号,-28.81,2010/12/9,嘉伦投资,--
从容优势三期,-29.03,2008/7/18,从容投资,吕俊
从容优势二期,-29.15,2008/4/18,从容投资,吕俊
尚雅16期,-29.16,2010/12/2,尚雅投资,常昊 石波
新价值8号,-29.23,2010/3/25,新价值,李东辉 罗伟广
富安达安晟2号,-29.23,2010/12/10,富安达投资,安俊杰
菁英时代成长3号,-29.24,2010/9/10,菁英时代,陈宏超
龙腾3期,-29.38,2010/11/12,龙腾资产,吴险峰
西域-光华59,-29.41,2010/9/2,西域投资,周水江
瀚信成长5期,-29.54,2010/3/29,瀚信资产,蒋国云
龙腾5期,-29.77,2010/9/28,龙腾资产,吴险峰
鑫鹏1期,-29.79,2007/12/20,金辉投资,阮杰
麦盛领航3期,-29.86,2010/12/31,麦盛资产,李向鸿
德源安1期,-29.86,2010/12/20,德源安,许良胜
尚雅11期,-30.03,2010/4/23,尚雅投资,常昊 石波
新价值11号,-30.17,2010/7/16,新价值,罗伟广
瀚信成长1期,-30.36,2010/2/11,瀚信资产,蒋国云
猎豹1期,-30.38,2010/8/24,鼎祥赢瑞,张德涛
金诚富利1期,-30.4,2010/3/31,同亿富利,黄树军
尚雅14期,-30.49,2010/8/2,尚雅投资,石波 常昊
同威增值4期,-30.54,2010/7/16,同威资产,李驰
新价值16号,-30.61,2010/6/25,新价值,罗伟广
世通8期,-30.62,2010/12/27,康庄资产,--
龙腾,-30.67,2008/1/23,龙腾资产,吴险峰
从容优势一期,-30.79,2008/4/8,从容投资,吕俊
智博方略快乐人生1..,-30.82,2008/3/21,智博方略,白洁
德源安1号,-30.97,2009/5/27,德源安,许良胜
金贝壳1号,-30.98,2010/5/20,金贝壳,黄明新
泰石1期,-31.2,2008/5/23,泰石投资,车克
国轩,-31.22,2008/4/28,南方汇金,徐伟
尚诚,-31.23,2007/3/28,尚诚资产,肖华
华宁1期,-31.29,2010/3/22,华宁智信,--
恒丰1期,-31.4,2010/6/10,银沙创投,陈军
慧安1号,-31.63,2009/5/19,慧安投资,沈一慧
铭远2期,-31.71,2010/1/31,铭远投资,韩跃峰
银信宝,-31.8,2008/1/4,恒运盛投资,张安东
龙动力一期,-31.81,2010/12/1,柏恩投资,潘明洪
新价值1期,-31.89,2010/5/14,新价值,罗伟广 张旭
新价值2期,-32.06,2008/2/19,新价值,罗伟广
证大稳健,-32.23,2008/6/6,证大投资,刘兵
鹏远核心一期,-32.28,2008/2/21,鹏远咨询,--
富锦8号(尚雅),-32.3,2010/8/27,尚雅投资,石波 常昊
新价值10期,-32.34,2010/3/12,新价值,罗伟广 范波
慧安3号,-32.34,2009/8/20,慧安投资,沈一慧
从容医疗2期,-32.35,2010/10/11,从容投资,吕俊
尚雅4期,-32.46,2008/2/18,尚雅投资,石波 常昊
岁腾1号,-32.51,2009/3/12,凯石益正资产,陈继武 吴振中
菁英时代成长2号,-32.54,2010/5/28,菁英时代,陈宏超
龙马,-32.56,2007/11/16,柏恩投资,龙小波
世通1期,-32.93,2008/2/18,康庄资产,常士杉
未尔弗一期,-33.01,2008/4/16,未尔弗,--
新价值成长一期A,-33.03,2009/12/15,新价值,罗伟广
铭远3期,-33.06,2010/10/22,铭远投资,韩跃峰
慧安2号,-33.36,2009/7/17,慧安投资,沈一慧
海昊1号,-33.36,2008/6/17,海昊投资,曾文海
金域蓝湾1期,-33.44,2007/12/3,金域蓝湾,--
尚雅6期,-33.49,2009/6/10,尚雅投资,石波 常昊
新价值19期,-33.71,2010/11/30,新价值,罗伟广 刘昌春
新价值2期,-34.25,2010/2/9,新价值,罗伟广 李涛 范波
尚雅12期,-34.32,2010/5/28,尚雅投资,石波 常昊
尚雅9期,-34.33,2010/2/11,尚雅投资,石波 常昊
尚雅3期,-34.47,2007/12/3,尚雅投资,石波 常昊
嘉禾1号,-34.47,2010/9/25,琪润投资,洪涛
投资精英之尚雅A,-34.5,2010/8/31,尚雅投资,石波 常昊
开宝1期,-34.71,2007/11/19,开宝资产,叶猷建
塔晶老虎1期,-35.25,2007/12/11,塔晶投资,冷再清
国投凯益,-35.5,2009/5/12,凯石益正资产,陈继武
瀚信收益1期,-36.12,2010/5/18,瀚信资产,--
平安证大一期,-36.13,2007/2/5,证大投资,朱南松
新价值4号,-36.55,2009/6/26,新价值,罗伟广 张旭
康成亨1期,-37.14,2009/5/22,康成亨,张耀东
新价值5号,-37.19,2009/8/31,新价值,罗伟广
新价值,-37.54,2007/11/15,新价值,罗伟广 陈延泰 张旭
得利宝至尊8号,-37.56,2010/8/16,尚雅投资,石波 常昊
猎豹2期,-37.67,2011/1/1,鼎祥赢瑞,张德涛
国投飞天4号,-37.76,2010/5/19,国投信托,高静 师晨冰
高特佳添富,-37.9,2008/4/9,高特佳,--
菁英时代成长1号,-38.05,2009/4/20,菁英时代,陈宏超
双赢8期(尚雅),-38.35,2009/9/29,尚雅投资,石波 常昊
海洋之星2号,-38.39,2007/11/21,理成资产,--
挺浩一期,-38.45,2010/9/17,挺浩投资,康浩平
美联融通1期,-38.69,2007/10/30,美联融通,汪立家
鸿逸1号,-38.76,2010/12/16,鸿逸投资,张云逸
中域增值1期,-38.76,2009/7/22,中域投资,袁鹏涛
红叶红价值进取1号,-38.89,2010/11/29,红叶红资产,吴学军
融新293号(金河..,-38.95,2010/11/19,金河投资,金贤昌
高特佳添富2期,-39.09,2010/2/11,高特佳,--
紫杉一期,-39.23,2010/10/22,杉杉资产,余路明
富锦9号,-39.49,2010/8/27,新价值,--
金股典,-41.86,2008/3/20,华银精治,--
证研1期,-41.89,2009/7/3,证研投资,宋晓辉
融兴进取2号,-43.45,2010/10/20,金汇海,--
富安达安晟1号,-43.55,2010/7/12,富安达投资,--
红山2期,-43.71,2007/9/7,红山投资,--
红山1期,-43.72,2007/9/6,红山投资,李雅非
能宏1期,-43.76,2010/12/22,--,--
理成风景2号,-44.69,2009/9/15,理成资产,杨玉山
塔晶狮王,-46.59,2007/9/3,塔晶投资,冷再清
中风投一号,-46.86,2010/4/23,汇鑫诚通,刘志博
塔晶狮王二号,-46.98,2007/10/8,塔晶投资,冷再清
国淼一期,-59.52,2009/1/23,国淼投资,马泽
天星2号,-60.01,2010/10/13,倚天投资,--
时策1期,-61.56,2008/1/17,时策投资,--
