产品简称,当年收益%,成立日期,投资顾问,投资经理
铭远巴克莱,29.8,2008/8/21,铭远投资,韩跃峰
星石3期,29.79,2007/8/27,星石投资,江晖
星石7期,29.52,2008/8/20,星石投资,江晖
星石5期,29.43,2008/4/28,星石投资,江晖
中欧瑞博一期,29.09,2008/1/25,中欧瑞博,吴伟志
中国龙稳健三,28.63,2008/2/5,涌峰投资,--
汇阳汇峰,28.49,2008/3/31,汇阳汇峰投资,--
亿龙中国,28.19,2006/4/18,涌金投资,刘红海
中国优质1号,27.54,2008/1/8,鹏远咨询,--
鹏远核心一期,25.75,2008/2/21,鹏远咨询,--
赑元成长1期,25.44,2008/12/10,赑元资产,宣震
中欧瑞博1期,24.55,2008/12/1,中欧瑞博,吴伟志
国轩,24.5,2008/4/28,南方汇金,徐伟
中国龙二,23.75,2008/5/14,涌峰投资,--
华夏三号,23.32,2008/1/21,富舟投资,--
杰凯一期,23.12,2008/4/29,杰凯资产,--
新东风成长证券,22.84,2008/9/12,沃园投资,--
小海豚,22.58,2008/9/8,小海豚,徐栋
中国龙稳健,22.22,2006/12/26,涌峰投资,赵凯
华夏四号,21.46,2008/1/23,富舟投资,--
晓牛一号,21.27,2008/1/3,晓牛资产,--
道合,20.9,2007/9/13,道合投资,裴继伟 何宋勇
合德丰泰,20.81,2008/3/15,合德丰泰,王宇
道合2期,19.49,2007/11/20,道合投资,--
汉华1期,17.85,2008/8/28,汉华资产,--
中国龙精选,16.75,2007/6/15,涌峰投资,王庆华
中国龙增长,16.5,2007/4/30,涌峰投资,王庆华
博鸿智富一号,16.49,2008/9/10,博鸿投资,姚卫东
中国龙精选二,16.24,2008/8/8,涌峰投资,王庆华
新同方,16.15,2007/7/12,新同方,刘迅 王连恒
中国龙增长二,14.95,2007/10/19,涌峰投资,王庆华
中国龙增长五,14.91,2007/11/20,涌峰投资,--
智博方略快乐人生1..,14.7,2008/3/21,智博方略,白洁
中国龙增长六,14.59,2007/11/8,涌峰投资,--
新同方2期,13.18,2008/3/28,新同方,--
龙马,12.69,2007/11/16,柏恩投资,龙小波
华夏二号,12.67,2007/12/26,富舟投资,--
龙马2期,12.11,2008/2/4,柏恩投资,--
合志同方一号,11.3,2008/1/29,新同方,刘迅
晓牛新动力,9,2008/9/25,晓牛资产,--
未尔弗一期,8,2008/4/16,未尔弗,--
证券套利,7.47,2008/1/28,国泰君安,--
鑫鹏1期,7.08,2007/12/20,金辉投资,阮杰
塔晶老虎1期,5.89,2007/12/11,塔晶投资,冷再清
瑞琴1号,4.92,2008/8/15,瑞琴投资,--
国投瑞僖稳健增强,3.68,2008/12/24,瑞银证券,--
塔晶狮王,3.5,2007/9/3,塔晶投资,冷再清
塔晶狮王二号,1.39,2007/10/8,塔晶投资,冷再清
塔晶华南虎一号,0.2,2007/10/24,塔晶投资,--
创赢1号,-1.18,2008/12/18,宝银创赢,崔军
